Country ,CovidName,PowerDx,Individuality,Masculinity,UAE
Argentina,Argentina,49,46,56,86
Australia,Australia,36,90,61,51
Austria,Austria,11,55,79,70
Belgium,Belgium,65,75,54,94
Brazil,Brazil,69,38,49,76
Canada,Canada,39,80,52,48
Chile,Chile,63,23,28,86
China,China,80,15,55,40
Colombia,Colombia,67,13,64,80
Costa Rica,Costa Rica,35,15,21,86
Czech Republic,Czech Republic,35,60,45,60
Denmark,Denmark,18,74,16,23
Ecuador,Ecuador,78,8,63,67
El Salvador,El Salvador,66,19,40,94
Finland,Finland,33,63,26,59
France,France,68,71,43,86
Germany,Germany,35,67,66,65
Greece,Greece,60,35,57,112
Guatemala,Guatemala,95,6,37,101
Hong Kong,Hong Kong,68,25,57,29
Hungary,Hungary,45,55,79,83
India,India,77,48,56,40
Indonesia,Indonesia,78,14,46,48
Iran,Iran,58,41,43,59
Ireland,Ireland,28,70,68,35
Israel,Israel,13,54,47,81
Italy,Italy,50,76,70,75
Jamaica,Jamaica,45,39,68,13
Japan,Japan,54,46,95,92
Korea,Korea,60,18,39,85
Malaysia,Malaysia,104,26,50,36
Mexico,Mexico,81,30,69,82
Netherlands,Netherlands,38,80,14,53
New Zealand,New Zealand,22,79,58,49
Norway,Norway,31,69,8,50
Pakistan,Pakistan,55,14,50,70
Panama,Panama,95,11,44,86
Peru,Peru,64,16,42,87
Philippines,Philippines,94,32,64,44
Poland,Poland,55,60,65,78
Portugal,Portugal,63,27,31,104
Singapore,Singapore,74,20,48,8
South Africa,South Africa,49,65,63,49
Spain,Spain,57,51,42,86
Sweden,Sweden,31,71,5,29
Switzerland,Switzerland,34,68,70,58
Taiwan,Taiwan,58,17,45,69
Thailand,Thailand,64,20,34,64
Turkey,Turkey,66,37,45,85
United Kingdom,United Kingdom,35,89,66,35
United States,United States,40,91,62,46
Uruguay,Uruguay,61,36,38,100
Venezuela,Venezuela,81,12,73,76
